individual,language,filename,TGT,OTH,prev_phone,next_phone,TGT_item,OTH_item,X_item,TGT_first,speaker_tgt_oth,speaker_x,correct_answer,binarized_answer,nb_stimuli,TGT_first_code,language_code,articulation,babelmulti,fishermono,fishertri,deepspeech,dpgmm,mfccs
0,english,FR1785,y,ʁ,d,s,1530,2345,135,True,F01_O,F02_N,-3,-1,0,1,0,0.628967337971434,0.2714192869118852,0.27926063935481454,0.2221447932663556,0.06989254901715192,8.29913837239189,0.1840112984303922
0,english,EN1504,w,n,d,ɑ,4400,5222,4117,False,3851,3347,3,1,1,0,0,-0.1341766031100661,0.2882147964649252,0.2742908158851809,0.3289358190024266,0.21085395438095883,7.322010683044885,0.057819419167313146
0,english,FR189,ʃ,b,a,a,334,319,335,True,F06_N,M01_O,1,1,2,1,0,-0.5931090515305002,0.39292270749281,0.4985389287625151,0.5992278534428016,0.21695142014705027,14.925038932187892,0.05160231102278612
0,english,EN1468,k,i,s,ð,4951,345,4953,False,4926,1571,3,1,3,0,0,0.1562901881395813,0.3782155813821729,0.367542480439571,0.3921295311368847,0.22788529640929572,14.850065858331053,0.35679769881825735
0,english,FR2018,ʁ,ʃ,i,ɛ,1683,1097,208,False,F01_N,F06_N,3,1,4,0,0,0.18378528205780403,0.5940853032121121,0.5842974393638148,0.6332805134659361,0.1633367588793163,20.373623094605417,0.40885848569243144
0,english,EN275,oʊ,eɪ,s,f,3236,3235,350,True,3851,188,-3,-1,5,1,0,0.6142656912557158,0.329180973120644,0.36442874699584515,0.3837690718256448,0.32271340553023115,9.375224928749653,0.2413346325426421
0,english,FR926,l,m,a,s,897,1009,895,False,F01_N,F06_N,3,1,6,0,0,-0.17649271413571202,-0.014994221560742704,0.007079329434113768,0.0196572380613646,0.008309214888995942,3.3845457150528286,0.05585812099913362
0,english,EN151,n,tʃ,z,ɑ,3319,3061,2843,True,3347,5802,3,1,7,1,0,0.17321028280907938,0.5764193740835957,0.5852871226249463,0.5411110822831913,0.3732802320631935,10.84701442734193,0.20527420015559295
0,english,FR20,i,a,s,d,39,38,41,False,M08_N,M10_N,3,1,8,0,0,0.26659505215822155,0.15602796468342273,0.2589765289794105,0.14899779445597666,0.009453393106173102,1.333451060325194,0.13579097208533508
0,english,FR1451,ɔ,s,t,p,1254,743,1256,True,F02_O,F02_N,-1,-1,9,1,0,0.14933170928319484,0.5400332439794246,0.4076964663858497,0.444143176974229,0.15769200458938692,11.360691718851273,0.22494683563439022
0,english,EN1077,t,n,ɪ,ð,3905,4003,3901,True,6509,3347,2,1,10,1,0,0.237249693362114,0.34529656868405123,0.4391310267675348,0.3787381116236983,0.17120925581557656,16.065551621404595,0.505896709663687
0,english,FR1074,m,o,a,k,2139,2808,2141,False,F02_O,F06_O,3,1,11,0,0,-0.13063407933347126,0.116753864162008,0.17927229939106948,0.19803957902130326,0.17213039652856543,-2.6195047851365967,-0.01934758522586788
